NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;1;2:45.631;0;;44.911;0;59.447;0;1:01.273;0;118.9;2:45.631;12:17:23.892;0:44.911;0:59.447;1:01.273;204.5;;Am;;Toyota Gazoo Racing;GF;44.911;59.447;61.273;;;;44.911;23.544;1:08.455;35.903;1:44.358;29.414;2:13.772;31.859;2:45.631
3;1;2;2:31.934;0;;33.831;0;58.380;0;59.723;0;129.7;5:17.565;12:19:55.826;0:33.831;0:58.380;0:59.723;203.0;;Am;;Toyota Gazoo Racing;GF;33.831;58.38;59.723;21.134;21.134;12.697;33.831;22.882;56.713;35.498;1:32.211;28.809;2:01.020;30.914;2:31.934
3;1;3;2:31.997;0;;32.839;0;59.550;0;59.608;2;129.6;7:49.562;12:22:27.823;0:32.839;0:59.550;0:59.608;200.0;;Am;;Toyota Gazoo Racing;GF;32.839;59.55;59.608;20.336;20.336;12.503;32.839;23.879;56.718;35.671;1:32.389;28.623;2:01.012;30.985;2:31.997
3;1;4;2:31.729;0;;33.398;0;58.311;0;1:00.020;0;129.8;10:21.291;12:24:59.552;0:33.398;0:58.311;1:00.020;201.5;;Am;;Toyota Gazoo Racing;GF;33.398;58.311;60.02;20.658;20.658;12.74;33.398;22.750;56.148;35.561;1:31.709;29.061;2:00.770;30.959;2:31.729
3;1;5;2:30.918;0;;33.162;0;58.133;0;59.623;0;130.5;12:52.209;12:27:30.470;0:33.162;0:58.133;0:59.623;203.8;;Am;;Toyota Gazoo Racing;GF;33.162;58.133;59.623;20.681;20.681;12.481;33.162;22.856;56.018;35.277;1:31.295;28.86;2:00.155;30.763;2:30.918
3;1;6;2:30.516;2;;32.933;0;57.896;0;59.687;0;130.9;15:22.725;12:30:00.986;0:32.933;0:57.896;0:59.687;202.2;;Am;;Toyota Gazoo Racing;GF;32.933;57.896;59.687;20.507;20.507;12.426;32.933;22.449;55.382;35.447;1:30.829;28.762;1:59.591;30.925;2:30.516
3;1;7;2:34.287;0;;32.929;0;58.064;0;1:03.294;0;127.7;17:57.012;12:32:35.273;0:32.929;0:58.064;1:03.294;204.5;;Am;;Toyota Gazoo Racing;FCY;32.929;58.064;63.294;20.424;20.424;12.505;32.929;22.557;55.486;35.507;1:30.993;31.257;2:02.250;32.037;2:34.287
3;1;8;3:22.330;0;;35.639;0;1:33.422;0;1:13.269;0;97.4;21:19.342;12:35:57.603;0:35.639;1:33.422;1:13.269;74.0;;Am;;Toyota Gazoo Racing;FCY;35.639;93.422;73.269;21.92;21.92;13.719;35.639;32.351;1:07.990;1:01.071;2:09.061;36.224;2:45.285;37.045;3:22.330
3;1;9;3:18.273;0;;48.889;0;1:17.671;0;1:11.713;0;99.3;24:37.615;12:39:15.876;0:48.889;1:17.671;1:11.713;136.0;;Am;;Toyota Gazoo Racing;GF;48.889;77.671;71.713;32.292;32.292;16.597;48.889;24.873;1:13.762;52.798;2:06.560;31.265;2:37.825;40.448;3:18.273
3;1;10;2:31.502;0;;33.198;0;57.942;0;1:00.362;0;130.0;27:09.117;12:41:47.378;0:33.198;0:57.942;1:00.362;204.5;;Am;;Toyota Gazoo Racing;GF;33.198;57.942;60.362;20.654;20.654;12.544;33.198;22.671;55.869;35.271;1:31.140;28.971;2:00.111;31.391;2:31.502
